Time (CDT) 	Latitude 	Longitude 	Course 	kts 	feet 	Rate 	Reporting Facility
Tue 18:21:17    Departure (KJEF) @ Tuesday 18:21:17 CDT
		FlightAware
Tue 18:35:11 	38.3523 	-92.3189 	↘ 137° 	57 	3,780 	 Level 	FlightAware ADS-B (KCOU)
Tue 18:35:29 	38.3476 	-92.3172 	↓ 184° 	57 	3,780 	-71 Descending 	FlightAware ADS-B (KTBN)
Tue 18:35:53 	38.3411 	-92.3176 	↓ 180° 	60 	3,730 	-75 Descending 	FlightAware ADS-B (KVER)
Tue 18:36:09 	38.3368 	-92.3177 	↓ 181° 	60 	3,730 	-324 Descending 	FlightAware ADS-B (KTBN)
Tue 18:36:30 	38.3301 	-92.3180 	↓ 183° 	70 	3,530 	-419 Descending 	FlightAware ADS-B (KVER)
Tue 18:36:52 	38.3238 	-92.3183 	↓ 179° 	74 	3,430 	-36 Descending 	FlightAware ADS-B (KVER)
Tue 18:37:12 	38.3165 	-92.3180 	↓ 179° 	86 	3,505 	341 Climbing 	FlightAware ADS-B (KCOU)
Tue 18:37:36 	38.3069 	-92.3180 	↓ 187° 	87 	3,680 	256 Climbing 	FlightAware ADS-B (KVER)
Tue 18:37:53 	38.3060 	-92.3250 	↖ 325° 	94 	3,680 	221 Climbing 	FlightAware ADS-B (KCOU)
Tue 18:38:10 	38.3137 	-92.3251 	↑ 4° 	85 	3,805 	269 Climbing 	FlightAware ADS-B (KVER)
Tue 18:38:32 	38.3223 	-92.3247 	↑ 1° 	89 	3,855 	143 Climbing 	FlightAware ADS-B (KSZL)
Tue 18:38:52 	38.3311 	-92.3253 	↑ 0° 	94 	3,905 	31 Climbing 	FlightAware ADS-B (KVER)
Tue 18:39:21 	38.3435 	-92.3254 	↑ 358° 	99 	3,880 	-133 Descending 	FlightAware ADS-B (KSZL)
Tue 18:39:37 	38.3518 	-92.3258 	↑ 358° 	102 	3,805 	-265 Descending 	FlightAware ADS-B (KVER)
Tue 18:39:55 	38.3602 	-92.3261 	↑ 1° 	104 	3,730 	-132 Descending 	FlightAware ADS-B (KTBN)
Tue 18:40:11 	38.3679 	-92.3260 	↑ 1° 	99 	3,730 	-150 Descending 	FlightAware ADS-B (KVER)
Tue 18:40:35 	38.3774 	-92.3252 	↑ 5° 	78 	3,630 	92 Climbing 	FlightAware ADS-B (KVER)
Tue 18:41:00 	38.3841 	-92.3258 	↑ 348° 	58 	3,805 	366 Climbing 	FlightAware ADS-B (KDMO)
Tue 18:41:16 	38.3898 	-92.3278 	↑ 349° 	79 	3,880 	148 Climbing 	FlightAware ADS-B (KVER)
Tue 18:41:41 	38.3988 	-92.3287 	↑ 359° 	93 	3,906 	97 Climbing 	FlightAware ADS-B (KAIZ)
Tue 18:42:03 	38.4090 	-92.3286 	↑ 0° 	95 	3,956 	-163 Descending 	FlightAware ADS-B (KVER)
Tue 18:42:20 	38.4168 	-92.3284 	↑ 2° 	98 	3,800 	-427 Descending 	FlightAware ADS-B (KVER)
Tue 18:42:39 	38.4253 	-92.3280 	↑ 4° 	103 	3,700 	-171 Descending 	FlightAware ADS-B (KTBN)
Tue 18:42:55 	38.4329 	-92.3273 	↑ 5° 	105 	3,700 	-150 Descending 	FlightAware ADS-B (KTBN)
Tue 18:43:19 	38.4444 	-92.3257 	↑ 8° 	101 	3,600 	-150 Descending 	FlightAware ADS-B (KTBN)
Tue 18:43:35 	38.4513 	-92.3244 	↑ 9° 	99 	3,600 	 Level 	FlightAware ADS-B (KDMO)
Tue 18:43:59 	38.4619 	-92.3241 	↑ 1° 	83 	3,600 	-136 Descending 	FlightAware ADS-B (KTBN)
Tue 18:44:19 	38.4693 	-92.3235 	↑ 2° 	70 	3,500 	 Level 	FlightAware ADS-B (KTBN)
Tue 18:44:43 	38.4778 	-92.3240 	↑ 352° 	82 	3,600 	250 Climbing 	FlightAware ADS-B (KVER)
Tue 18:45:07 	38.4867 	-92.3252 	↑ 355° 	87 	3,700 	109 Climbing 	FlightAware ADS-B (KJEF)
Tue 18:45:38 	38.5003 	-92.3268 	↑ 355° 	85 	3,700 	-128 Descending 	FlightAware ADS-B (KTBN)
Tue 18:45:54 	38.5051 	-92.3270 	↑ 0° 	66 	3,600 	 Level 	FlightAware ADS-B (KJEF)
Tue 18:46:12 	38.5102 	-92.3271 	↑ 6° 	58 	3,700 	146 Climbing 	FlightAware ADS-B (KCOU)
Tue 18:46:35 	38.5177 	-92.3276 	↑ 356° 	83 	3,700 	 Level 	FlightAware ADS-B (KVER)
Tue 18:46:52 	38.5244 	-92.3278 	↑ 1° 	93 	3,700 	 Level 	FlightAware ADS-B (KTBN)
Tue 18:47:14 	38.5335 	-92.3275 	↑ 3° 	98 	3,700 	 Level 	FlightAware ADS-B (KSZL)
Tue 18:47:34 	38.5429 	-92.3270 	↑ 359° 	92 	3,700 	 Level 	FlightAware ADS-B (KSZL)
Tue 18:47:53 	38.5498 	-92.3268 	↑ 0° 	67 	3,700 	343 Climbing 	FlightAware ADS-B (KCOU)
Tue 18:48:09 	38.5543 	-92.3268 	↑ 1° 	73 	3,900 	140 Climbing 	FlightAware ADS-B (KJEF)
Tue 18:48:36 	38.5656 	-92.3267 	↑ 1° 	94 	3,800 	-279 Descending 	FlightAware ADS-B (KVER)
Tue 18:48:52 	38.5725 	-92.3260 	↑ 7° 	89 	3,700 	-1,421 Descending 	FlightAware ADS-B (KVER)
Tue 18:49:14 	38.5797 	-92.3170 	↗ 52° 	121 	2,900 	-2,250 Descending 	FlightAware ADS-B (KMHL)
Tue 18:49:32 	38.5864 	-92.3062 	↗ 46° 	115 	2,200 	-1,765 Descending 	FlightAware ADS-B (KVER)
Tue 18:49:48 	38.5933 	-92.3007 	↑ 17° 	121 	1,900 	-462 Descending 	FlightAware ADS-B (KJEF)
Tue 18:50:11 	38.6050 	-92.2984 	↑ 9° 	105 	1,900 	 Level 	FlightAware ADS-B (KJEF)
Tue 18:50:29 	38.6133 	-92.2991 	↑ 343° 	103 	1,900 	 Level 	FlightAware ADS-B (KCOU)
Tue 18:50:47 	38.6209 	-92.3021 	↑ 351° 	100 	1,900 	-158 Descending 	FlightAware ADS-B (KJEF)
Tue 18:51:07 	38.6306 	-92.3022 	↑ 3° 	102 	1,800 	-286 Descending 	FlightAware ADS-B (KCOU)
Tue 18:51:29 	38.6413 	-92.3006 	↑ 10° 	104 	1,700 	-279 Descending 	FlightAware ADS-B (KVER)
Tue 18:51:50 	38.6512 	-92.2984 	↑ 9° 	104 	1,600 	-150 Descending 	FlightAware ADS-B (KJEF)
Tue 18:52:09 	38.6605 	-92.2963 	↑ 10° 	103 	1,600 	 Level 	FlightAware ADS-B (KVER)
Tue 18:52:26 	38.6675 	-92.2950 	↑ 6° 	100 	1,600 	 Level 	FlightAware ADS-B (KCOU)
Tue 18:52:54 	38.6802 	-92.2928 	↑ 11° 	96 	1,600 	-125 Descending 	FlightAware ADS-B (KCOU)
Tue 18:53:14 	38.6886 	-92.2887 	↗ 38° 	98 	1,500 	-300 Descending 	FlightAware ADS-B (KVER)
Tue 18:53:34 	38.6955 	-92.2803 	↗ 27° 	98 	1,400 	-300 Descending 	FlightAware ADS-B (KVER)
Tue 18:53:54 	38.6998 	-92.2859 	↙ 233° 	92 	1,300 	-245 Descending 	FlightAware ADS-B (KVER)
Tue 18:54:23 	38.6870 	-92.2891 	↓ 185° 	101 	1,200 	-130 Descending 	FlightAware ADS-B (KVER)
Tue 18:54:40 	38.6794 	-92.2899 	↓ 188° 	102 	1,200 	176 Climbing 	FlightAware ADS-B (KVER)
Tue 18:54:57 	38.6752 	-92.2963 	← 278° 	89 	1,300 	150 Climbing 	FlightAware ADS-B (KJEF)
Tue 18:55:20 	38.6833 	-92.3009 	↑ 342° 	86 	1,300 	-140 Descending 	FlightAware ADS-B (KVER)
Tue 18:55:40 	38.6832 	-92.3092 	↓ 194° 	102 	1,200 	-154 Descending 	FlightAware ADS-B (KVER)
Tue 18:55:59 	38.6753 	-92.3098 	← 246° 	90 	1,200 	 Level 	FlightAware ADS-B (KCOU)
Tue 18:56:15 	38.6798 	-92.3137 	↑ 9° 	94 	1,200 	 Level 	FlightAware ADS-B (KVER)
Tue 18:56:35 	38.6855 	-92.3188 	← 258° 	89 	1,200 	-158 Descending 	FlightAware ADS-B (KVER)
Tue 18:56:53 	38.6791 	-92.3229 	↓ 197° 	97 	1,100 	 Level 	FlightAware ADS-B (KVER)
Tue 18:57:11 	38.6782 	-92.3305 	↖ 316° 	86 	1,200 	 Level 	FlightAware ADS-B (KCOU)
Tue 18:57:29 	38.6853 	-92.3311 	↗ 33° 	97 	1,100 	158 Climbing 	FlightAware ADS-B (KVER)
Tue 18:57:49 	38.6920 	-92.3240 	↑ 16° 	93 	1,300 	474 Climbing 	FlightAware ADS-B (KVER)
Tue 18:58:07 	38.6988 	-92.3246 	↖ 320° 	87 	1,400 	158 Climbing 	FlightAware ADS-B (KCOU)
Tue 18:58:27 	38.6996 	-92.3344 	↙ 238° 	86 	1,400 	162 Climbing 	FlightAware ADS-B (KCOU)
Tue 18:58:44 	38.6934 	-92.3401 	↓ 187° 	96 	1,500 	162 Climbing 	FlightAware ADS-B (KVER)
